,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Tgt,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,LaDainian Tomlinson,SDG,RB,27.0,16.0,16.0,2.0,3.0,20.0,0.0,348.0,1815.0,80.0,56.0,508.0,9.07,2.0,1.0,20.0,2.0,3.0,1815.0,28.0,348.0,508.0,3.0,481.1
1,Christian McCaffrey,CAR,RB,23.0,16.0,16.0,0.0,2.0,0.0,0.0,287.0,1387.0,142.0,116.0,1005.0,8.66,1.0,0.0,0.0,0.0,2.0,1387.0,15.0,287.0,1005.0,4.0,469.2
2,Marshall Faulk,STL,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,253.0,1359.0,113.0,81.0,830.0,10.25,0.0,0.0,0.0,0.0,0.0,1359.0,18.0,253.0,830.0,8.0,455.9
3,Priest Holmes,KAN,RB,30.0,16.0,16.0,0.0,1.0,0.0,0.0,320.0,1420.0,90.0,74.0,690.0,9.32,1.0,1.0,0.0,0.0,1.0,1420.0,27.0,320.0,690.0,0.0,445.0
4,LaDainian Tomlinson,SDG,RB,24.0,16.0,16.0,1.0,1.0,21.0,0.0,313.0,1645.0,137.0,100.0,725.0,7.25,2.0,0.0,21.0,1.0,1.0,1645.0,13.0,313.0,725.0,4.0,443.84
5,Priest Holmes,KAN,RB,29.0,14.0,14.0,0.0,1.0,0.0,0.0,313.0,1615.0,81.0,70.0,672.0,9.6,1.0,1.0,0.0,0.0,1.0,1615.0,21.0,313.0,672.0,3.0,440.7
6,Marshall Faulk,STL,RB,28.0,14.0,14.0,0.0,1.0,0.0,0.0,260.0,1382.0,104.0,83.0,765.0,9.22,3.0,3.0,0.0,0.0,1.0,1382.0,12.0,260.0,765.0,9.0,417.7
7,Steven Jackson,STL,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,346.0,1528.0,110.0,90.0,806.0,8.96,4.0,2.0,0.0,0.0,0.0,1528.0,13.0,346.0,806.0,3.0,415.4
8,Emmitt Smith,DAL,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,377.0,1773.0,78.0,62.0,375.0,6.05,7.0,6.0,0.0,0.0,0.0,1773.0,25.0,377.0,375.0,0.0,414.8
9,David Johnson,ARI,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,293.0,1239.0,120.0,80.0,879.0,10.99,5.0,3.0,0.0,0.0,0.0,1239.0,16.0,293.0,879.0,4.0,405.8
10,Marshall Faulk,STL,RB,26.0,16.0,16.0,0.0,1.0,0.0,0.0,253.0,1381.0,103.0,87.0,1048.0,12.05,2.0,2.0,0.0,0.0,1.0,1381.0,7.0,253.0,1048.0,5.0,397.9
11,Edgerrin James,IND,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,387.0,1709.0,87.0,63.0,594.0,9.43,5.0,4.0,0.0,0.0,0.0,1709.0,13.0,387.0,594.0,5.0,393.3
12,Arian Foster,HOU,RB,24.0,16.0,13.0,0.0,0.0,0.0,0.0,327.0,1616.0,84.0,66.0,604.0,9.15,3.0,2.0,0.0,0.0,0.0,1616.0,16.0,327.0,604.0,2.0,392.0
13,Chris Johnson,TEN,RB,24.0,16.0,16.0,0.0,1.0,0.0,0.0,358.0,2006.0,71.0,50.0,503.0,10.06,3.0,3.0,0.0,0.0,1.0,2006.0,14.0,358.0,503.0,2.0,390.9
14,Christian McCaffrey,CAR,RB,22.0,16.0,16.0,1.0,1.0,50.0,0.0,219.0,1098.0,124.0,107.0,867.0,8.1,4.0,1.0,50.0,1.0,1.0,1098.0,7.0,219.0,867.0,6.0,385.5
15,Ahman Green,GNB,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,355.0,1883.0,60.0,50.0,367.0,7.34,7.0,5.0,0.0,0.0,0.0,1883.0,15.0,355.0,367.0,5.0,385.0
16,LaDainian Tomlinson,SDG,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,372.0,1683.0,101.0,79.0,489.0,6.19,3.0,1.0,0.0,0.0,0.0,1683.0,14.0,372.0,489.0,1.0,384.20000000000016
17,Saquon Barkley,NYG,RB,21.0,16.0,16.0,0.0,0.0,0.0,0.0,261.0,1307.0,121.0,91.0,721.0,7.92,0.0,0.0,0.0,0.0,0.0,1307.0,11.0,261.0,721.0,4.0,383.8
18,Todd Gurley,LAR,RB,23.0,15.0,15.0,0.0,0.0,0.0,0.0,279.0,1305.0,87.0,64.0,788.0,12.31,5.0,2.0,0.0,0.0,0.0,1305.0,13.0,279.0,788.0,6.0,383.3
19,Terrell Davis,DEN,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,392.0,2008.0,38.0,25.0,217.0,8.68,2.0,2.0,0.0,0.0,0.0,2008.0,21.0,392.0,217.0,2.0,381.5
20,Roger Craig,SFO,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,214.0,1050.0,,92.0,1016.0,11.04,5.0,0.0,0.0,0.0,0.0,1050.0,9.0,214.0,1016.0,6.0,378.6
21,Jamaal Charles,KAN,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,259.0,1287.0,104.0,70.0,693.0,9.9,4.0,2.0,0.0,0.0,0.0,1287.0,12.0,259.0,693.0,7.0,378.0
22,Marcus Allen,RAI,RB,25.0,16.0,16.0,1.0,2.0,16.0,0.0,380.0,1759.0,,67.0,555.0,8.28,3.0,0.0,16.0,0.0,2.0,1759.0,11.0,380.0,555.0,3.0,377.04
23,Shaun Alexander,SEA,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,370.0,1880.0,29.0,15.0,78.0,5.2,5.0,1.0,0.0,0.0,0.0,1880.0,27.0,370.0,78.0,1.0,376.8
24,O.J. Simpson,BUF,RB,28.0,14.0,14.0,0.0,0.0,0.0,0.0,329.0,1817.0,,28.0,426.0,15.21,7.0,0.0,0.0,0.0,0.0,1817.0,16.0,329.0,426.0,7.0,376.3
25,Ray Rice,BAL,RB,24.0,16.0,16.0,1.0,1.0,1.0,0.0,291.0,1364.0,104.0,76.0,704.0,9.26,2.0,2.0,1.0,1.0,1.0,1364.0,12.0,291.0,704.0,3.0,372.84
26,Larry Johnson,KAN,RB,27.0,16.0,16.0,0.0,1.0,0.0,0.0,416.0,1789.0,66.0,41.0,410.0,10.0,2.0,2.0,0.0,0.0,1.0,1789.0,17.0,416.0,410.0,2.0,370.9
27,James Wilder,TAM,RB,26.0,16.0,16.0,1.0,1.0,16.0,0.0,407.0,1544.0,,85.0,685.0,8.06,10.0,0.0,16.0,1.0,1.0,1544.0,13.0,407.0,685.0,0.0,370.54
28,Le'Veon Bell,PIT,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,290.0,1361.0,105.0,83.0,854.0,10.29,0.0,0.0,0.0,0.0,0.0,1361.0,8.0,290.0,854.0,3.0,370.5
29,Edgerrin James,IND,RB,21.0,16.0,16.0,0.0,0.0,0.0,0.0,369.0,1553.0,82.0,62.0,586.0,9.45,8.0,4.0,0.0,0.0,0.0,1553.0,13.0,369.0,586.0,4.0,369.9
30,Emmitt Smith,DAL,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,373.0,1713.0,74.0,59.0,335.0,5.68,4.0,0.0,0.0,0.0,0.0,1713.0,18.0,373.0,335.0,1.0,369.8
31,Brian Westbrook,PHI,RB,28.0,15.0,15.0,0.0,0.0,0.0,0.0,278.0,1333.0,118.0,90.0,771.0,8.57,2.0,2.0,0.0,0.0,0.0,1333.0,7.0,278.0,771.0,5.0,368.4
