,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att.1,Yds.1,Tgt,Rec,Yds.2,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Jerry Rice,SFO,WR,33.0,16.0,16.0,1.0,1.0,41.0,0.0,5.0,36.0,176.0,122.0,1848.0,15.15,3.0,3.0,41.0,1.0,1.0,36.0,1.0,5.0,1848.0,15.0,406.04
1,Randy Moss,NWE,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,98.0,1493.0,15.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.0,23.0,385.3
2,Marvin Harrison,IND,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,10.0,205.0,143.0,1722.0,12.04,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1722.0,11.0,382.2
3,Antonio Brown,PIT,WR,26.0,16.0,16.0,2.0,2.0,20.0,0.0,4.0,13.0,181.0,129.0,1698.0,13.16,2.0,2.0,20.0,1.0,2.0,13.0,0.0,4.0,1698.0,13.0,378.9
4,Antonio Brown,PIT,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,28.0,193.0,136.0,1834.0,13.49,3.0,2.0,0.0,0.0,0.0,28.0,0.0,3.0,1834.0,10.0,378.2
5,Randy Moss,MIN,WR,26.0,16.0,16.0,0.0,1.0,0.0,0.0,6.0,18.0,172.0,111.0,1632.0,14.7,1.0,1.0,0.0,0.0,1.0,18.0,0.0,6.0,1632.0,17.0,376.0
6,Isaac Bruce,STL,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,17.0,199.0,119.0,1781.0,14.97,2.0,1.0,0.0,0.0,0.0,17.0,0.0,3.0,1781.0,13.0,374.8
7,Michael Thomas,NOR,WR,26.0,16.0,15.0,0.0,0.0,0.0,0.0,1.0,-9.0,185.0,149.0,1725.0,11.58,1.0,0.0,0.0,0.0,0.0,-9.0,0.0,1.0,1725.0,9.0,374.6
8,Herman Moore,DET,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,123.0,1686.0,13.71,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.0,14.0,371.6
9,Julio Jones,ATL,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,136.0,1871.0,13.76,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1871.0,8.0,369.1
10,Cris Carter,MIN,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,197.0,122.0,1371.0,11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1371.0,17.0,361.1
11,Calvin Johnson,DET,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,11.0,158.0,96.0,1681.0,17.51,1.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1681.0,16.0,359.20000000000016
12,Jerry Rice,SFO,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,7.0,93.0,151.0,112.0,1499.0,13.38,1.0,1.0,0.0,0.0,0.0,93.0,2.0,7.0,1499.0,13.0,359.2
13,Torry Holt,STL,WR,27.0,16.0,15.0,0.0,0.0,0.0,0.0,1.0,5.0,183.0,117.0,1696.0,14.5,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1696.0,12.0,359.1
14,Marvin Harrison,IND,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,3.0,164.0,109.0,1524.0,13.98,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1524.0,15.0,351.7
15,Marvin Harrison,IND,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,4.0,184.0,115.0,1663.0,14.46,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1663.0,12.0,351.7
16,Jerry Rice,SFO,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,69.0,153.0,98.0,1503.0,15.34,3.0,0.0,0.0,0.0,0.0,69.0,1.0,3.0,1503.0,15.0,345.2
17,Jerry Rice,SFO,WR,24.0,16.0,15.0,1.0,2.0,16.0,0.0,10.0,72.0,,86.0,1570.0,18.26,2.0,0.0,16.0,0.0,2.0,72.0,1.0,10.0,1570.0,15.0,342.84
18,Calvin Johnson,DET,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,122.0,1964.0,16.1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1964.0,5.0,342.4
19,Brandon Marshall,NYJ,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,109.0,1502.0,13.78,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1502.0,14.0,339.2
20,Demaryius Thomas,DEN,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,111.0,1619.0,14.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,11.0,338.9
21,Steve Smith,CAR,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,25.0,150.0,103.0,1563.0,15.17,2.0,1.0,0.0,0.0,0.0,25.0,1.0,4.0,1563.0,12.0,337.8
22,Wes Welker,NWE,WR,30.0,16.0,15.0,0.0,0.0,0.0,0.0,4.0,30.0,173.0,122.0,1569.0,12.86,1.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0,1569.0,9.0,335.9
23,Jerry Rice,SFO,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,5.0,33.0,,82.0,1483.0,18.09,0.0,0.0,0.0,0.0,0.0,33.0,0.0,5.0,1483.0,17.0,335.6
24,Brandon Marshall,CHI,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,-2.0,192.0,118.0,1508.0,12.78,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,1508.0,11.0,334.6
25,DeAndre Hopkins,HOU,WR,26.0,16.0,16.0,0.0,1.0,0.0,0.0,1.0,-7.0,163.0,115.0,1572.0,13.67,2.0,2.0,0.0,0.0,1.0,-7.0,0.0,1.0,1572.0,11.0,333.5
26,Terrell Owens,SFO,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,21.0,155.0,93.0,1412.0,15.18,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,1412.0,16.0,332.3
27,Robert Brooks,GNB,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,21.0,167.0,102.0,1497.0,14.68,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,1497.0,13.0,331.8
28,Michael Irvin,DAL,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,111.0,1603.0,14.44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.0,10.0,329.3
29,DeAndre Hopkins,HOU,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,111.0,1521.0,13.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,11.0,329.1
30,Hines Ward,PIT,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,12.0,142.0,160.0,112.0,1329.0,11.87,1.0,1.0,0.0,0.0,0.0,142.0,0.0,12.0,1329.0,12.0,329.1
31,Muhsin Muhammad,CAR,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,15.0,160.0,93.0,1405.0,15.11,3.0,1.0,0.0,0.0,0.0,15.0,0.0,3.0,1405.0,16.0,329.0
32,Sterling Sharpe,GNB,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,8.0,162.0,108.0,1461.0,13.53,2.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,1461.0,13.0,328.9000000000001
33,Tyreek Hill,KAN,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,22.0,151.0,137.0,87.0,1479.0,17.0,0.0,0.0,0.0,0.0,0.0,151.0,1.0,22.0,1479.0,12.0,328.0
34,Jordy Nelson,GNB,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,98.0,1519.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519.0,13.0,327.9
35,Davante Adams,GNB,WR,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,111.0,1386.0,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.0,13.0,327.6
36,Marvin Harrison,IND,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,102.0,1413.0,13.85,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.0,14.0,327.3
37,Jerry Rice,SFO,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,,100.0,1502.0,15.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1502.0,13.0,326.2
38,Julio Jones,ATL,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,12.0,170.0,113.0,1677.0,14.84,2.0,2.0,0.0,0.0,0.0,12.0,0.0,2.0,1677.0,8.0,325.9
39,Carl Pickens,CIN,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,6.0,168.0,99.0,1234.0,12.46,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1234.0,17.0,325.0
40,Antonio Brown,PIT,WR,30.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,168.0,104.0,1297.0,12.47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1297.0,15.0,323.7
